时间,事件,用户名,用户组,用户类型,认证方式,IP地址,终端MAC,接入点,接入点分组,接入网络, 虚拟局域网,角色,计算机名,终端类型,网卡厂商
="2019-01-08 16:01:33","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:01:49","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:02:05","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:02:38","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:03:13","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:03:48","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:04:21","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:04:25","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","11","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:05:48","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:05:58","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:07:12","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:07:43","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:08:18","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:08:53","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:08:59","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:09:48","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:10:07","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:12:55","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.2.132","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:13:43","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:13:57","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:16:48","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:17:09","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:21:31","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:22:03","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-08 16:22:15","退出","68-94-23-6D-72-6F","/PSK认证组/","本地用户","WPA-PSK(个人)","169.254.205.48","68-94-23-6D-72-6F","BJAP01","Beijing","Brenntag-User","1","默认角色","BACBJ1NB17","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
